device,time,dne,srl,srrn,eda
NC04014,2024-10-28T10:50:21.996Z,,,,227618
NC04014,2024-10-28T10:50:22.329Z,,,,223473
NC04014,2024-10-28T10:50:22.662Z,,,,229656
NC04014,2024-10-28T10:50:22.995Z,,,,233844
NC04014,2024-10-28T10:50:23.328Z,,,,214539
NC04014,2024-10-28T10:50:23.661Z,,,,204488
NC04014,2024-10-28T10:50:23.994Z,,,,195565
NC04014,2024-10-28T10:50:24.327Z,,,,202090
NC04014,2024-10-28T10:50:24.660Z,,,,228636
NC04014,2024-10-28T10:50:24.993Z,,,,277544
NC04014,2024-10-28T10:50:25.326Z,,,,303483
NC04014,2024-10-28T10:50:25.659Z,,,,275046
NC04014,2024-10-28T10:50:25.992Z,,,,264662
NC04014,2024-10-28T10:50:26.325Z,,,,258026
NC04014,2024-10-28T10:50:26.658Z,,,,254059
NC04014,2024-10-28T10:50:26.991Z,,,,252518
NC04014,2024-10-28T10:50:27.324Z,,,,250021
NC04014,2024-10-28T10:50:27.657Z,,,,246675
NC04014,2024-10-28T10:50:27.990Z,,,,244772
NC04014,2024-10-28T10:50:28.323Z,,,,246485
NC04014,2024-10-28T10:50:28.656Z,,,,244297
NC04014,2024-10-28T10:50:28.989Z,,,,242684
NC04014,2024-10-28T10:50:29.322Z,,,,244202
NC04014,2024-10-28T10:50:29.655Z,,,,242779
NC04014,2024-10-28T10:50:29.988Z,,,,239943
NC04014,2024-10-28T10:50:30.321Z,,,,239189
NC04014,2024-10-28T10:50:30.654Z,,,,237778
NC04014,2024-10-28T10:50:30.987Z,,,,247343
NC04014,2024-10-28T10:50:31.320Z,,,,248967
NC04014,2024-10-28T10:50:31.653Z,,,,228081
NC04014,2024-10-28T10:50:31.986Z,,,,201735
NC04014,2024-10-28T10:50:32.319Z,,,,185479
NC04014,2024-10-28T10:50:32.652Z,,,,175985
NC04014,2024-10-28T10:50:32.985Z,,,,177004
NC04014,2024-10-28T10:50:33.318Z,,,,176919
NC04014,2024-10-28T10:50:33.651Z,,,,178195
NC04014,2024-10-28T10:50:33.984Z,,,,197674
NC04014,2024-10-28T10:50:34.317Z,,,,210032
NC04014,2024-10-28T10:50:34.650Z,,,,214630
NC04014,2024-10-28T10:50:34.983Z,,,,212191
NC04014,2024-10-28T10:50:35.316Z,,,,202977
NC04014,2024-10-28T10:50:35.649Z,,,,195829
NC04014,2024-10-28T10:50:35.982Z,,,,208059
NC04014,2024-10-28T10:50:36.402Z,,,,221730
NC04014,2024-10-28T10:50:36.735Z,,,,206360
NC04014,2024-10-28T10:50:37.068Z,,,,195916
NC04014,2024-10-28T10:50:37.401Z,,,,219993
NC04014,2024-10-28T10:50:37.734Z,,,,226141
NC04014,2024-10-28T10:50:38.067Z,,,,205646
NC04014,2024-10-28T10:50:38.400Z,,,,214178
NC04014,2024-10-28T10:50:38.733Z,,,,216988
NC04014,2024-10-28T10:50:39.066Z,,,,214178
NC04014,2024-10-28T10:50:39.399Z,,,,210571
NC04014,2024-10-28T10:50:39.732Z,,,,203688
NC04014,2024-10-28T10:50:40.065Z,,,,195127
NC04014,2024-10-28T10:50:40.398Z,,,,184617
NC04014,2024-10-28T10:50:40.731Z,,,,175815
NC04014,2024-10-28T10:50:41.064Z,,,,173022
NC04014,2024-10-28T10:50:41.397Z,,,,168062
NC04014,2024-10-28T10:50:41.730Z,,,,161155
NC04014,2024-10-28T10:50:42.063Z,,,,160576
NC04014,2024-10-28T10:50:42.396Z,,,,160990
NC04014,2024-10-28T10:50:42.729Z,,,,158514
NC04014,2024-10-28T10:50:43.062Z,,,,157198
NC04014,2024-10-28T10:50:43.395Z,,,,158679
NC04014,2024-10-28T10:50:43.728Z,,,,164640
NC04014,2024-10-28T10:50:44.061Z,,,,167142
NC04014,2024-10-28T10:50:44.394Z,,,,163642
NC04014,2024-10-28T10:50:44.727Z,,,,159916
NC04014,2024-10-28T10:50:45.060Z,,,,158761
NC04014,2024-10-28T10:50:45.393Z,,,,166140
NC04014,2024-10-28T10:50:45.726Z,,,,173022
NC04014,2024-10-28T10:50:46.059Z,,,,174036
NC04014,2024-10-28T10:50:46.392Z,,,,177174
NC04014,2024-10-28T10:50:46.725Z,,,,167895
NC04014,2024-10-28T10:50:47.058Z,,,,158349
NC04014,2024-10-28T10:50:47.391Z,,,,157280
NC04014,2024-10-28T10:50:47.724Z,,,,160742
NC04014,2024-10-28T10:50:48.057Z,,,,158267
NC04014,2024-10-28T10:50:48.390Z,,,,156049
NC04014,2024-10-28T10:50:48.723Z,,,,159008
NC04014,2024-10-28T10:50:49.056Z,,,,160329
NC04014,2024-10-28T10:50:49.389Z,,,,162563
NC04014,2024-10-28T10:50:49.722Z,,,,169068
NC04014,2024-10-28T10:50:50.055Z,,,,174459
NC04014,2024-10-28T10:50:50.388Z,,,,174036
NC04014,2024-10-28T10:50:50.721Z,,,,161817
NC04014,2024-10-28T10:50:51.054Z,,,,150743
NC04014,2024-10-28T10:50:51.387Z,,,,153430
NC04014,2024-10-28T10:50:51.720Z,,,,153675
NC04014,2024-10-28T10:50:52.053Z,,,,153512
NC04014,2024-10-28T10:50:52.386Z,,,,152778
NC04014,2024-10-28T10:50:52.719Z,,,,156623
NC04014,2024-10-28T10:50:53.052Z,,,,156787
NC04014,2024-10-28T10:50:53.385Z,,,,155557
NC04014,2024-10-28T10:50:53.718Z,,,,160494
NC04014,2024-10-28T10:50:54.051Z,,,,152615
NC04014,2024-10-28T10:50:54.384Z,,,,147663
NC04014,2024-10-28T10:50:54.717Z,,,,146291
NC04014,2024-10-28T10:50:55.050Z,,,,144761
NC04014,2024-10-28T10:50:55.383Z,,,,144600
NC04014,2024-10-28T10:50:55.716Z,,,,142914
NC04014,2024-10-28T10:50:56.049Z,,,,140834
NC04014,2024-10-28T10:50:56.382Z,,,,140515
NC04014,2024-10-28T10:50:56.715Z,,,,142594
NC04014,2024-10-28T10:50:57.048Z,,,,145002
NC04014,2024-10-28T10:50:57.381Z,,,,141953
NC04014,2024-10-28T10:50:57.714Z,,,,142594
NC04014,2024-10-28T10:50:58.047Z,,,,148148
NC04014,2024-10-28T10:50:58.380Z,,,,150093
NC04014,2024-10-28T10:50:58.713Z,,,,149120
NC04014,2024-10-28T10:50:59.046Z,,,,144841
NC04014,2024-10-28T10:50:59.379Z,,,,150174
NC04014,2024-10-28T10:50:59.712Z,,,,154574
NC04014,2024-10-28T10:51:00.045Z,,,,146936
NC04014,2024-10-28T10:51:00.378Z,,,,145083
NC04014,2024-10-28T10:51:00.711Z,,,,146533
NC04014,2024-10-28T10:51:01.044Z,,,,144600
NC04014,2024-10-28T10:51:01.377Z,,,,142274
NC04014,2024-10-28T10:51:01.710Z,,,,140435
NC04014,2024-10-28T10:51:02.043Z,,,,139159
NC04014,2024-10-28T10:51:02.376Z,,,,145566
NC04014,2024-10-28T10:51:02.709Z,,,,144359
NC04014,2024-10-28T10:51:03.042Z,,,,136696
NC04014,2024-10-28T10:51:03.375Z,,,,139956
NC04014,2024-10-28T10:51:03.708Z,,,,139956
NC04014,2024-10-28T10:51:04.041Z,,,,135904
NC04014,2024-10-28T10:51:04.374Z,,,,135192
NC04014,2024-10-28T10:51:04.707Z,,,,135034
NC04014,2024-10-28T10:51:05.040Z,,,,136934
NC04014,2024-10-28T10:51:05.373Z,,,,142274
NC04014,2024-10-28T10:51:05.706Z,,,,145002
NC04014,2024-10-28T10:51:06.039Z,,,,144841
NC04014,2024-10-28T10:51:06.372Z,,,,143636
NC04014,2024-10-28T10:51:06.705Z,,,,142274
NC04014,2024-10-28T10:51:07.038Z,,,,141154
NC04014,2024-10-28T10:51:07.371Z,,,,139797
NC04014,2024-10-28T10:51:07.704Z,,,,138682
NC04014,2024-10-28T10:51:08.037Z,,,,138125
NC04014,2024-10-28T10:51:08.370Z,,,,138205
NC04014,2024-10-28T10:51:08.703Z,,,,138046
NC04014,2024-10-28T10:51:09.036Z,,,,137251
NC04014,2024-10-28T10:51:09.369Z,,,,136696
NC04014,2024-10-28T10:51:09.702Z,,,,136855
NC04014,2024-10-28T10:51:10.035Z,,,,137569
NC04014,2024-10-28T10:51:10.368Z,,,,137569
NC04014,2024-10-28T10:51:10.701Z,,,,141873
NC04014,2024-10-28T10:51:11.034Z,,,,154820
NC04014,2024-10-28T10:51:11.367Z,,,,161238
NC04014,2024-10-28T10:51:11.700Z,,,,179303
NC04014,2024-10-28T10:51:12.033Z,,,,201647
NC04014,2024-10-28T10:51:12.366Z,,,,188331
NC04014,2024-10-28T10:51:12.699Z,,,,173783
NC04014,2024-10-28T10:51:13.032Z,,,,159256
NC04014,2024-10-28T10:51:13.365Z,,,,140914
NC04014,2024-10-28T10:51:13.698Z,,,,139080
NC04014,2024-10-28T10:51:14.031Z,,,,137648
NC04014,2024-10-28T10:51:14.364Z,,,,138761
NC04014,2024-10-28T10:51:14.697Z,,,,140275
NC04014,2024-10-28T10:51:15.030Z,,,,136934
NC04014,2024-10-28T10:51:15.363Z,,,,136221
NC04014,2024-10-28T10:51:15.696Z,,,,134244
NC04014,2024-10-28T10:51:16.029Z,,,,134322
NC04014,2024-10-28T10:51:16.362Z,,,,136062
NC04014,2024-10-28T10:51:16.695Z,,,,135904
NC04014,2024-10-28T10:51:17.028Z,,,,134559
NC04014,2024-10-28T10:51:17.361Z,,,,132431
NC04014,2024-10-28T10:51:17.694Z,,,,132824
NC04014,2024-10-28T10:51:18.027Z,,,,137251
NC04014,2024-10-28T10:51:18.360Z,,,,141553
NC04014,2024-10-28T10:51:18.693Z,,,,142033
NC04014,2024-10-28T10:51:19.026Z,,,,146614
NC04014,2024-10-28T10:51:19.359Z,,,,142113
NC04014,2024-10-28T10:51:19.692Z,,,,132195
NC04014,2024-10-28T10:51:20.025Z,,,,131644
NC04014,2024-10-28T10:51:20.358Z,,,,130231
NC04014,2024-10-28T10:51:20.691Z,,,,129370
NC04014,2024-10-28T10:51:21.024Z,,,,129605
NC04014,2024-10-28T10:51:21.357Z,,,,130388
NC04014,2024-10-28T10:51:21.690Z,,,,131566
NC04014,2024-10-28T10:51:22.023Z,,,,133297
NC04014,2024-10-28T10:51:22.356Z,,,,133691
NC04014,2024-10-28T10:51:22.689Z,,,,134954
NC04014,2024-10-28T10:51:23.022Z,,,,138841
NC04014,2024-10-28T10:51:23.355Z,,,,140674
NC04014,2024-10-28T10:51:23.688Z,,,,137093
NC04014,2024-10-28T10:51:24.021Z,,,,132273
NC04014,2024-10-28T10:51:24.354Z,,,,131801
NC04014,2024-10-28T10:51:24.687Z,,,,132903
NC04014,2024-10-28T10:51:25.020Z,,,,132745
NC04014,2024-10-28T10:51:25.353Z,,,,132667
NC04014,2024-10-28T10:51:25.686Z,,,,132745
NC04014,2024-10-28T10:51:26.019Z,,,,131330
NC04014,2024-10-28T10:51:26.352Z,,,,135983
NC04014,2024-10-28T10:51:26.685Z,,,,138443
NC04014,2024-10-28T10:51:27.018Z,,,,134322
NC04014,2024-10-28T10:51:27.351Z,,,,133061
NC04014,2024-10-28T10:51:27.684Z,,,,132352
NC04014,2024-10-28T10:51:28.017Z,,,,135746
NC04014,2024-10-28T10:51:28.350Z,,,,138125
NC04014,2024-10-28T10:51:28.683Z,,,,136062
NC04014,2024-10-28T10:51:29.016Z,,,,138125
NC04014,2024-10-28T10:51:29.349Z,,,,137013
NC04014,2024-10-28T10:51:29.682Z,,,,132273
NC04014,2024-10-28T10:51:30.015Z,,,,131566
NC04014,2024-10-28T10:51:30.348Z,,,,131723
NC04014,2024-10-28T10:51:30.681Z,,,,131094
NC04014,2024-10-28T10:51:31.014Z,,,,135113
